group,variable,value
CIT, 2012, 5.6
NQZ, 2012, 5.7
ALA, 2012, 5.6
KZ, 2013, 5.2
AKM, 2013, 5.2
AKT, 2013, 4.9
ALM, 2013, 4.9
ATY, 2013, 5
ZAP, 2013, 5.1
ZHA, 2013, 5.2
KAR, 2013, 5
KUS, 2013, 5.2
KZY, 2013, 5.2
MAN, 2013, 5.5
YUZ, 2013, 5.5
PAV, 2013, 5
SEV, 2013, 5.1
VOS, 2013, 5.1
CIT, 2013, 5.5
NQZ, 2013, 5.5
ALA, 2013, 5.6
KZ, 2014, 5
AKM, 2014, 4.9
AKT, 2014, 4.9
ALM, 2014, 4.9
ATY, 2014, 5
ZAP, 2014, 5
ZHA, 2014, 4.9
KAR, 2014, 4.9
KUS, 2014, 5
KZY, 2014, 5
MAN, 2014, 5
YUZ, 2014, 5.4
PAV, 2014, 4.8
SEV, 2014, 5
VOS, 2014, 4.8
CIT, 2014, 5.4
NQZ, 2014, 5.1
ALA, 2014, 5.5
KZ, 2015, 5.1
AKM, 2015, 5.1
AKT, 2015, 5.1
ALM, 2015, 5
ATY, 2015, 5
ZAP, 2015, 5.1
ZHA, 2015, 5.1
KAR, 2015, 5.3
KUS, 2015, 5.1
KZY, 2015, 5.1
MAN, 2015, 5.1
YUZ, 2015, 5.3
PAV, 2015, 4.9
SEV, 2015, 5.1
VOS, 2015, 5
CIT, 2015, 5.3
NQZ, 2015, 4.7
ALA, 2015, 5.3
KZ, 2016, 5
AKM, 2016, 4.9
AKT, 2016, 4.8
ALM, 2016, 4.8
ATY, 2016, 4.9
ZAP, 2016, 4.9
ZHA, 2016, 4.9
KAR, 2016, 5
KUS, 2016, 4.9
KZY, 2016, 4.9
MAN, 2016, 5
YUZ, 2016, 5.2
PAV, 2016, 4.8
SEV, 2016, 5
VOS, 2016, 4.9
CIT, 2016, 5.2
NQZ, 2016, 4.6
ALA, 2016, 5.3
KZ, 2017, 4.9
AKM, 2017, 4.8
AKT, 2017, 4.8
ALM, 2017, 4.7
ATY, 2017, 4.9
ZAP, 2017, 4.9
ZHA, 2017, 4.9
KAR, 2017, 4.8
KUS, 2017, 4.8
KZY, 2017, 4.8
MAN, 2017, 4.9
YUZ, 2017, 5.2
PAV, 2017, 4.8
SEV, 2017, 4.9
VOS, 2017, 4.8
CIT, 2017, 5.2
NQZ, 2017, 4.6
ALA, 2017, 5.3
KZ, 2018, 4.9
AKM, 2018, 4.8
AKT, 2018, 4.8
ALM, 2018, 4.7
ATY, 2018, 4.9
ZAP, 2018, 4.9
ZHA, 2018, 4.9
KAR, 2018, 4.6
KUS, 2018, 4.8
KZY, 2018, 4.8
MAN, 2018, 4.8
YUZ, 2018, 5.2
PAV, 2018, 4.8
SEV, 2018, 4.9
VOS, 2018, 4.8
CIT, 2018, 5.1
NQZ, 2018, 4.5
ALA, 2018, 5.2
KZ, 2019, 4.8
AKM, 2019, 4.7
AKT, 2019, 4.8
ALM, 2019, 4.6
ATY, 2019, 4.8
ZAP, 2019, 4.8
ZHA, 2019, 4.8
KAR, 2019, 4.4
KUS, 2019, 4.7
KZY, 2019, 4.8
MAN, 2019, 4.8
YUZ, 2019, 5.1
PAV, 2019, 4.7
SEV, 2019, 4.8
VOS, 2019, 4.8
CIT, 2019, 5.1
NQZ, 2019, 4.4
ALA, 2019, 5.1
